Test Name,Accuracy,Precision,Recall,F1 Score,Accuracy (Standard Deviation),Precision (Standard Deviation),Recall (Standard Deviation),F1 Score (Standard Deviation)
Co-Training: AudioValenceRF12,0.5397156398057624,0.396133434417726,0.5558510638215115,0.4625940681673307,0.07907676535842821,0.19401406110723263,0.09490390784046182,0.1415472018460624
Co-Training: AudioValenceNN4,0.5122274881571605,0.17930250190510078,0.5368898978826687,0.2688263711440198,0.0876563993188525,0.10329235161031662,0.15073484236162452,0.11717157787990501
Co-Training: AudioValenceNN8,0.5577251184863653,0.4738438210821601,0.5694760820065172,0.517277053594041,0.08955713863870249,0.20994337947858016,0.1252898612888063,0.1591321206677127
Co-Training: AudioValenceNN12,0.539336492890122,0.4878695981822891,0.543956043953745,0.5143884892086331,0.07202260162676447,0.23088207939523103,0.13298579239518463,0.19516127623839083
Co-Training: VisualArousalBLR4,0.5469194312882406,0.27862016680545343,0.6014729951047222,0.3808290155585988,0.06934790645975275,0.19275599986692352,0.1761508315993157,0.19775907065884668
Co-Training: VisualArousalBLR8,0.5514691943100501,0.3893100833941975,0.5763187429797979,0.46470588234946764,0.07022251266779073,0.2796633446723298,0.09854295176049967,0.22377690229691144
Co-Training: VisualArousalBLR12,0.5611374407516795,0.4624715693718735,0.5762871988661595,0.5131440588860207,0.06130455591298127,0.2535584498121452,0.1039691159542674,0.175483628826753
Co-Training: VisualArousalRF4,0.5954502369679534,0.5435936315297331,0.6065989847742792,0.573370651735333,0.031582612978100374,0.1760652687170391,0.06751673140380049,0.10205227745036727
Co-Training: VisualArousalRF8,0.5903317535556215,0.6197877179818794,0.5853920515556307,0.6020990609519233,0.06595364381100755,0.14595238654294718,0.08212553092002826,0.07241334047371713
Co-Training: VisualArousalRF12,0.6005687203802854,0.5216072782468597,0.6195407474099996,0.5663716814188796,0.046033912812963644,0.1814217069267114,0.09219644338793133,0.09990758757012458
Co-Training: VisualArousalNN4,0.5330805687138067,0.18574677784755778,0.6086956521544693,0.2846354922841219,0.051707849056268095,0.16186358358491176,0.12217083407067668,0.1699520865860225
Co-Training: VisualArousalNN8,0.5541232227442029,0.31918119788266325,0.6022889842659962,0.41724479683389143,0.04936188759673048,0.1524764897254593,0.09123494902526617,0.12978880698702314
Co-Training: VisualArousalNN12,0.5740284360295241,0.3578468536821753,0.6305945223974067,0.4565900846525425,0.04079551006173492,0.13849342098240716,0.09223975095802672,0.12265934268418838
Co-Training: VisualValenceBLR4,0.5186729857829737,0.13343442001187808,0.5818181818208865,0.2170829478835993,0.0809300647946525,0.07209587973462542,0.24108001057153078,0.10153710669223127
Co-Training: VisualValenceBLR8,0.5090047393317706,0.19749810462925513,0.5241448691989867,0.2868942731301003,0.060868276420663,0.13191494012967303,0.2101884935267282,0.14426104384813723
Co-Training: VisualValenceBLR12,0.5207582938360583,0.35557240332962686,0.5311438278542598,0.42597638509826957,0.04133168849333357,0.24552192148154428,0.2258582095499427,0.21529495505172985
Co-Training: VisualValenceRF4,0.5381990521432003,0.3984078847702745,0.5531578947502798,0.46319964743262754,0.03371888244107248,0.20572901246964512,0.12652025241573572,0.14153770899728152
Co-Training: VisualValenceRF8,0.5146919431258434,0.4181197877204513,0.5183270676757912,0.46286193873685016,0.051943697530001394,0.22063007789849964,0.1455970970524284,0.11624349365676377
Co-Training: VisualValenceRF12,0.4955450237071005,0.35026535255250285,0.49385355426245936,0.4098469727345309,0.056117554325336966,0.1643366430110696,0.15013303577395942,0.1317270307278252
Co-Training: VisualValenceNN4,0.5107109004692146,0.1508718726237713,0.5385656292089116,0.2357121705551419,0.07475573315230845,0.10875806159199097,0.2346397089773671,0.1387397411737129
Co-Training: VisualValenceNN8,0.49080568721040907,0.24450341168781084,0.4820627802806713,0.3244466800939414,0.047408809082281594,0.1755121471934136,0.2171829446753119,0.17751582870232233
Co-Training: VisualValenceNN12,0.4873933649184595,0.2600454890002276,0.4770514603410702,0.33660451421899756,0.04666469928831501,0.18244311159831164,0.18870293006015543,0.18499227617369288
Co-Training: PhysArousalBLR4,0.563222748814338,0.23123578469382577,0.6884875846338325,0.3461975028451056,0.06273108938776892,0.17273785888077264,0.16598941313014856,0.1889427873388696
Co-Training: PhysArousalBLR8,0.598293838852319,0.3836239575298848,0.672425249151793,0.48853487809187934,0.06083597610694188,0.1381959712442134,0.04721994113135036,0.10891777735702585
Co-Training: PhysArousalBLR12,0.6238862559310406,0.5037907505818946,0.6631736526996531,0.5725980181061068,0.05667797928695856,0.17964436960554603,0.06319188589748248,0.14303785835431646
Co-Training: PhysArousalRF4,0.5653080568844839,0.5075815011467307,0.573939134175516,0.5387246027069326,0.06147049486633404,0.12726290312437008,0.06906512785035818,0.08863751599650739
Co-Training: PhysArousalRF8,0.5636018957299783,0.45716451857641077,0.5809248554829346,0.5116673737780583,0.06274526033172846,0.2045197463986811,0.10748256715376327,0.14561398164089298
Co-Training: PhysArousalRF12,0.567014218021928,0.5037907505818946,0.5768229166796875,0.5378389316198662,0.06312420065790991,0.16613455181276812,0.07397193663019064,0.116560636187191
Co-Training: PhysArousalNN4,0.546919431271179,0.2975739196296345,0.5937972768336324,0.39646464645454543,0.07895184009588664,0.15666148546135122,0.10272243866181618,0.15309727997780398
